,azimuth
0,-71.03736973748843
1,-70.91237430864143
2,-70.78737890469776
3,-70.6623835256145
4,-70.5373881713542
5,-70.41239284187881
6,-70.28739753714555
7,-70.16240225711707
8,-70.03740700175044
9,-69.91241177100537
10,-69.7874165648445
11,-69.66242138322261
12,-69.53742622609636
13,-69.4124310934354
14,-69.2874359851941
15,-69.16244090132952
16,-69.03744584180069
17,-68.91245080656947
18,-68.78745579558799
19,-68.66246080881953
20,-68.53746584622567
21,-68.412470907759
22,-68.28747599337683
23,-68.1624811030429
24,-68.03748623671012
25,-67.91249139433714
26,-67.78749657588568
27,-67.66250178130755
28,-67.53750701056114
29,-67.41251226360768
30,-67.28751754040442
31,-67.16252284090203
32,-67.03752816506315
33,-66.91253351284453
34,-66.78753888419189
35,-66.66254427907856
36,-66.53754969745543
37,-66.41255513927828
38,-66.2875606045018
39,-66.16256609308115
40,-66.03757160497682
41,-65.91257714014043
42,-65.78758269852878
43,-65.66258828010174
44,-65.53759388480918
45,-65.41259951260983
46,-65.28760516345935
47,-65.16261083731044
48,-65.0376165341224
49,-64.91262225384307
50,-64.78762799643627
51,-64.6626337618529
52,-64.53763955004692
53,-64.4126453609754
54,-64.2876511945905
55,-64.16265705084751
56,-64.03766292970309
57,-63.91266883110106
58,-63.78767475500919
59,-63.66268070137593
60,-63.537686670157626
61,-63.412692661303964
62,-63.28769867476794
63,-63.16270471050947
64,-63.03771076847491
65,-62.912716848622466
66,-62.78772295090616
67,-62.662729075275166
68,-62.53773522168419
69,-62.4127413900861
70,-62.28774758043468
71,-62.16275379268106
72,-62.03776002677776
73,-61.912766282680735
74,-61.78777256033905
75,-61.66277885970513
76,-61.5377851807352
77,-61.412791523376626
78,-61.28779788758217
79,-61.162804273298974
80,-61.03781068049088
81,-60.9128171091032
82,-60.78782355908842
83,-60.6628300303972
84,-60.53783652298179
85,-60.41284303679194
86,-60.287849571780356
87,-60.162856127895765
88,-60.03786270509258
89,-59.912869303319866
90,-59.78787592252942
91,-59.66288256267032
92,-59.537889223693895
93,-59.41289590555314
94,-59.287902608192866
95,-59.162909331567306
96,-59.03791607562769
97,-58.912922840323205
98,-58.78792962560064
99,-58.66293643141486
100,-58.53794325771318
101,-58.41295010444375
102,-58.28795697155462
103,-58.162963859004975
104,-58.037970766737004
105,-57.91297769470006
106,-57.787984642845885
107,-57.6629916111211
108,-57.53799859947563
109,-57.413005607859276
110,-57.28801263621759
111,-57.16301968450509
112,-57.038026752668856
113,-56.9130338406533
114,-56.78804094841027
115,-56.66304807588651
116,-56.53805522303284
117,-56.41306238979561
118,-56.288069576123206
119,-56.16307678196435
120,-56.038084007266974
121,-55.913091251977306
122,-55.788098516043846
123,-55.663105799415206
124,-55.53811310203238
125,-55.41312042385252
126,-55.28812776482229
127,-55.163135124884064
128,-55.03814250398747
129,-54.91314990208136
130,-54.788157319108535
131,-54.66316475501682
132,-54.5381722097554
133,-54.41317968326959
134,-54.28818717550425
135,-54.16319468641015
136,-54.03820221593284
137,-53.913209764014795
138,-53.78821733060542
139,-53.66322491565106
140,-53.53823251909691
141,-53.413240140888405
142,-53.28824778097376
143,-53.163255439298126
144,-53.03826311580562
145,-52.91327081044281
146,-52.788278523156094
147,-52.66328625388607
148,-52.53829400258641
149,-52.413301769202434
150,-52.288309553670416
151,-52.163317355942894
152,-52.03832517596422
153,-51.91333301367612
154,-51.78834086902512
155,-51.66334874195931
156,-51.53835663241793
157,-51.41336454034624
158,-51.28837246569478
159,-51.16338040840466
160,-51.03838836841712
161,-50.91339634567973
162,-50.788404340138385
163,-50.66341235173084
164,-50.53842038040929
165,-50.413428426116155
166,-50.2884364887889
167,-50.16344456837706
168,-50.038452664824405
169,-49.913460778067446
170,-49.78846890806014
171,-49.663477054739786
172,-49.53848521805455
173,-49.413493397944734
174,-49.288501594351914
175,-49.163509807225836
176,-49.03851803650238
177,-48.913526282126185
178,-48.788534544041994
179,-48.66354282219433
