freq,spectra
1.76034e+06 , 6.72646e-05
5.28102e+06 , 0
8.8017e+06 , 0
1.23224e+07 , 0
1.58431e+07 , 0
1.93637e+07 , 0
2.28844e+07 , 0
2.64051e+07 , 0
2.99258e+07 , 0
3.34465e+07 , 0
3.69671e+07 , 0
4.04878e+07 , 0
4.40085e+07 , 0
4.75292e+07 , 0
5.10499e+07 , 0
5.45706e+07 , 0
5.80912e+07 , 0
6.16119e+07 , 0
6.51326e+07 , 0
6.86533e+07 , 0
7.2174e+07 , 0
7.56946e+07 , 0
7.92153e+07 , 0
8.2736e+07 , 0
8.62567e+07 , 0.00353868
8.97774e+07 , 0.00351528
9.3298e+07 , 0.0034422
9.68187e+07 , 0.00333133
1.00339e+08 , 0.00320462
1.0386e+08 , 0.00317243
1.07381e+08 , 0.00311909
1.10901e+08 , 0.00304883
1.14422e+08 , 0.00296517
1.17943e+08 , 0.00393668
1.21463e+08 , 0.00664491
1.24984e+08 , 0.00914037
1.28505e+08 , 0.0114212
1.32026e+08 , 0.0134884
1.35546e+08 , 0.212617
1.39067e+08 , 0.501085
1.42588e+08 , 0.758334
1.46108e+08 , 0.986239
1.49629e+08 , 1.18671
1.5315e+08 , 1.81874
1.5667e+08 , 2.4192
1.60191e+08 , 2.93836
1.63712e+08 , 3.38369
1.67232e+08 , 3.81017
1.70753e+08 , 4.40395
1.74274e+08 , 4.90494
1.77794e+08 , 5.32332
1.81315e+08 , 5.66849
1.84836e+08 , 5.67259
1.88356e+08 , 5.30475
1.91877e+08 , 4.96323
1.95398e+08 , 4.64634
1.98918e+08 , 4.35237
2.02439e+08 , 4.12324
2.0596e+08 , 3.92655
2.09481e+08 , 3.74098
2.13001e+08 , 3.56577
2.16522e+08 , 3.40015
2.20043e+08 , 3.2009
2.23563e+08 , 3.01294
2.27084e+08 , 2.837
2.30605e+08 , 2.67194
2.34125e+08 , 2.51533
2.37646e+08 , 2.36324
2.41167e+08 , 2.21987
2.44687e+08 , 2.08443
2.48208e+08 , 1.9562
2.51729e+08 , 1.83538
2.55249e+08 , 1.72135
2.5877e+08 , 1.6128
2.62291e+08 , 1.50939
2.65811e+08 , 1.41084
2.69332e+08 , 1.32117
2.72853e+08 , 1.23666
2.76373e+08 , 1.15573
2.79894e+08 , 1.07831
2.83415e+08 , 1.00433
2.86935e+08 , 0.932627
2.90456e+08 , 0.864512
2.93977e+08 , 0.799962
2.97498e+08 , 0.738964
3.01018e+08 , 0.681277
3.04539e+08 , 0.626636
3.0806e+08 , 0.575612
3.1158e+08 , 0.528163
3.15101e+08 , 0.484239
3.18622e+08 , 0.442352
3.22142e+08 , 0.403049
3.25663e+08 , 0.367445
3.29184e+08 , 0.335396
3.32704e+08 , 0.306751
3.36225e+08 , 0.281465
3.39746e+08 , 0.259269
3.43266e+08 , 0.239973
3.46787e+08 , 0.223416
3.50308e+08 , 0.209451
3.53828e+08 , 0.198103
3.57349e+08 , 0.188981
3.6087e+08 , 0.181931
3.6439e+08 , 0.176806
3.67911e+08 , 0.173386
3.71432e+08 , 0.171471
3.74953e+08 , 0.171071
3.78473e+08 , 0.172057
3.81994e+08 , 0.174306
3.85515e+08 , 0.178212
3.89035e+08 , 0.183506
3.92556e+08 , 0.18979
3.96077e+08 , 0.196975
3.99597e+08 , 0.204976
4.03118e+08 , 0.212985
4.06639e+08 , 0.221489
4.10159e+08 , 0.230496
4.1368e+08 , 0.239922
4.17201e+08 , 0.248814
4.20721e+08 , 0.252771
4.24242e+08 , 0.256362
4.27763e+08 , 0.25949
4.31283e+08 , 0.262068
4.34804e+08 , 0.244485
4.38325e+08 , 0.196001
4.41845e+08 , 0.142861
4.45366e+08 , 0.0850775
4.48887e+08 , 0.0227232
4.52407e+08 , 0.0373556
4.55928e+08 , 0.0923706
4.59449e+08 , 0.150714
4.6297e+08 , 0.212165
4.6649e+08 , 0.276457
4.70011e+08 , 0.313358
4.73532e+08 , 0.349525
4.77052e+08 , 0.386327
4.80573e+08 , 0.423548
4.84094e+08 , 0.454883
4.87614e+08 , 0.46336
4.91135e+08 , 0.470889
4.94656e+08 , 0.477422
4.98176e+08 , 0.482917
5.01697e+08 , 0.486728
5.05218e+08 , 0.488769
5.08738e+08 , 0.489694
5.12259e+08 , 0.489505
5.1578e+08 , 0.488211
5.193e+08 , 0.48542
5.22821e+08 , 0.48143
5.26342e+08 , 0.476419
5.29862e+08 , 0.470429
5.33383e+08 , 0.463497
5.36904e+08 , 0.454924
5.40425e+08 , 0.445557
5.43945e+08 , 0.43546
5.47466e+08 , 0.424701
5.50987e+08 , 0.412779
5.54507e+08 , 0.398927
5.58028e+08 , 0.384749
5.61549e+08 , 0.370321
5.65069e+08 , 0.355721
5.6859e+08 , 0.341896
5.72111e+08 , 0.328692
5.75631e+08 , 0.315414
5.79152e+08 , 0.302124
5.82673e+08 , 0.288885
5.86193e+08 , 0.274934
5.89714e+08 , 0.261042
5.93235e+08 , 0.24746
5.96755e+08 , 0.23423
6.00276e+08 , 0.221452
6.03797e+08 , 0.209801
6.07317e+08 , 0.198525
6.10838e+08 , 0.187655
6.14359e+08 , 0.17722
6.17879e+08 , 0.167097
6.214e+08 , 0.157203
6.24921e+08 , 0.147863
6.28442e+08 , 0.139093
6.31962e+08 , 0.13091
6.35483e+08 , 0.123458
6.39004e+08 , 0.116691
6.42524e+08 , 0.110543
6.46045e+08 , 0.105039
6.49566e+08 , 0.100203
6.53086e+08 , 0.0954485
6.56607e+08 , 0.0913662
6.60128e+08 , 0.0880482
6.63648e+08 , 0.0854868
6.67169e+08 , 0.0836726
6.7069e+08 , 0.0826181
6.7421e+08 , 0.0822322
6.77731e+08 , 0.0824652
6.81252e+08 , 0.0832591
6.84772e+08 , 0.0846002
6.88293e+08 , 0.0864489
6.91814e+08 , 0.0886676
6.95334e+08 , 0.0911925
6.98855e+08 , 0.0939624
7.02376e+08 , 0.0967323
7.05897e+08 , 0.0995264
7.09417e+08 , 0.102381
7.12938e+08 , 0.105246
7.16459e+08 , 0.108078
7.19979e+08 , 0.110483
7.235e+08 , 0.112733
7.27021e+08 , 0.114816
7.30541e+08 , 0.116704
7.34062e+08 , 0.118543
7.37583e+08 , 0.120837
7.41103e+08 , 0.122892
7.44624e+08 , 0.124689
7.48145e+08 , 0.12621
7.51665e+08 , 0.126783
7.55186e+08 , 0.126305
7.58707e+08 , 0.125514
7.62227e+08 , 0.124416
7.65748e+08 , 0.12302
7.69269e+08 , 0.12146
7.72789e+08 , 0.119671
7.7631e+08 , 0.117625
7.79831e+08 , 0.115337
7.83351e+08 , 0.112827
7.86872e+08 , 0.110505
7.90393e+08 , 0.107988
7.93914e+08 , 0.105295
7.97434e+08 , 0.102444
8.00955e+08 , 0.0993355
8.04476e+08 , 0.0957989
8.07996e+08 , 0.092181
8.11517e+08 , 0.0885025
8.15038e+08 , 0.0847835
8.18558e+08 , 0.0804088
8.22079e+08 , 0.0755281
8.256e+08 , 0.0707331
8.2912e+08 , 0.066044
8.32641e+08 , 0.0614791
8.36162e+08 , 0.0531239
8.39682e+08 , 0.0442381
8.43203e+08 , 0.0358609
8.46724e+08 , 0.0280002
8.50244e+08 , 0.0208338
8.53765e+08 , 0.016648
8.57286e+08 , 0.0127415
8.60806e+08 , 0.00910794
8.64327e+08 , 0.00573721
8.67848e+08 , 0.00337738
8.71369e+08 , 0.00266723
8.74889e+08 , 0.00200658
8.7841e+08 , 0.00139137
8.81931e+08 , 0.000816783
8.85451e+08 , 0.000522171
8.88972e+08 , 0.000405679
8.92493e+08 , 0.000295837
8.96013e+08 , 0.00019126
8.99534e+08 , 9.04782e-05
